round, agent, produces, commodity_stock, type, cs_amount, ,$
,$
1, 0, Food, Wood, stock, 6.263805,$
1, 21, Wood, Food, stock, 12.57972,$
1, 21, Wood, Food, minPriceBelief, 1.039574,$
1, 21, Wood, Food, maxPriceBelief, 2.079149,$
1, 21, Wood, Tool, stock, 13.47972,$
1, 21, Wood, Tool, minPriceBelief, 1.038769,$
1, 21, Wood, Tool, maxPriceBelief, 2.077538,$
1, 21, Wood, Wood, stock, 0,$
1, 21, Wood, Wood, minPriceBelief, 0.9781087,$
1, 21, Wood, Wood, maxPriceBelief, 1.956217,$
1, 21, Wood, cash, stock, 4.876312,$
1, 22, Wood, Food, stock, 20,$
1, 22, Wood, Food, minPriceBelief, 0.9781087,$
1, 22, Wood, Food, maxPriceBelief, 1.956217,$
1, 22, Wood, Tool, stock, 16.79187,$
1, 22, Wood, Tool, minPriceBelief, 1.038769,$
1, 22, Wood, Tool, maxPriceBelief, 2.077538,$
1, 22, Wood, Wood, stock, 0,$
1, 22, Wood, Wood, minPriceBelief, 0.9855,$
1, 22, Wood, Wood, maxPriceBelief, 1.971,$
1, 22, Wood, cash, stock, -1.075834,$
1, 23, Wood, Food, stock, 5.824264,$
1, 23, Wood, Food, minPriceBelief, 1.039574,$
1, 23, Wood, Food, maxPriceBelief, 2.079149,$
1, 23, Wood, Tool, stock, 14.70567,$
1, 23, Wood, Tool, minPriceBelief, 0.9944363,$
1, 23, Wood, Tool, maxPriceBelief, 1.988873,$
1, 23, Wood, Wood, stock, 0,$
1, 23, Wood, Wood, minPriceBelief, 0.9781087,$
1, 23, Wood, Wood, maxPriceBelief, 1.956217,$
1, 23, Wood, cash, stock, -9.180765,$
1, 24, Wood, Food, stock, 20,$
1, 24, Wood, Food, minPriceBelief, 0.9744408,$
1, 24, Wood, Food, maxPriceBelief, 1.948882,$
1, 24, Wood, Tool, stock, 12.88775,$
1, 24, Wood, Tool, minPriceBelief, 1.038769,$
1, 24, Wood, Tool, maxPriceBelief, 2.077538,$
1, 24, Wood, Wood, stock, 0,$
1, 24, Wood, Wood, minPriceBelief, 0.9855,$
1, 24, Wood, Wood, maxPriceBelief, 1.971,$
1, 24, Wood, cash, stock, -8.268602,$
1, 25, Wood, Food, stock, 11.66405,$
1, 25, Wood, Food, minPriceBelief, 1.039574,$
1, 25, Wood, Food, maxPriceBelief, 2.079149,$
1, 25, Wood, Tool, stock, 20,$
1, 25, Wood, Tool, minPriceBelief, 0.9708481,$
1, 25, Wood, Tool, maxPriceBelief, 1.941696,$
1, 25, Wood, Wood, stock, 0,$
1, 25, Wood, Wood, minPriceBelief, 0.9855,$
1, 25, Wood, Wood, maxPriceBelief, 1.971,$
1, 25, Wood, cash, stock, -7.387588,$
1, 26, Wood, Food, stock, 9.073185,$
1, 26, Wood, Food, minPriceBelief, 1.039574,$
1, 26, Wood, Food, maxPriceBelief, 2.079149,$
1, 26, Wood, Tool, stock, 9.973185,$
1, 26, Wood, Tool, minPriceBelief, 1.038769,$
1, 26, Wood, Tool, maxPriceBelief, 2.077538,$
1, 26, Wood, Wood, stock, 0,$
1, 26, Wood, Wood, minPriceBelief, 0.9855,$
1, 26, Wood, Wood, maxPriceBelief, 1.971,$
1, 26, Wood, cash, stock, 5.012268,$
1, 27, Wood, Food, stock, 12.26376,$
1, 27, Wood, Food, minPriceBelief, 1.039574,$
1, 27, Wood, Food, maxPriceBelief, 2.079149,$
1, 27, Wood, Tool, stock, 13.16376,$
1, 27, Wood, Tool, minPriceBelief, 1.038769,$
1, 27, Wood, Tool, maxPriceBelief, 2.077538,$
1, 27, Wood, Wood, stock, 0,$
1, 27, Wood, Wood, minPriceBelief, 0.9855,$
1, 27, Wood, Wood, maxPriceBelief, 1.971,$
1, 27, Wood, cash, stock, 4.950987,$
1, 28, Wood, Food, stock, 11.58502,$
1, 28, Wood, Food, minPriceBelief, 1.039574,$
1, 28, Wood, Food, maxPriceBelief, 2.079149,$
1, 28, Wood, Tool, stock, 12.48502,$
1, 28, Wood, Tool, minPriceBelief, 1.038769,$
1, 28, Wood, Tool, maxPriceBelief, 2.077538,$
1, 28, Wood, Wood, stock, 0,$
1, 28, Wood, Wood, minPriceBelief, 0.9781087,$
1, 28, Wood, Wood, maxPriceBelief, 1.956217,$
1, 28, Wood, cash, stock, 4.640732,$
1, 29, Wood, Food, stock, 17.08108,$
1, 29, Wood, Food, minPriceBelief, 1.039574,$
1, 29, Wood, Food, maxPriceBelief, 2.079149,$
1, 29, Wood, Tool, stock, 17.98108,$
1, 29, Wood, Tool, minPriceBelief, 1.038769,$
1, 29, Wood, Tool, maxPriceBelief, 2.077538,$
1, 29, Wood, Wood, stock, 0,$
1, 29, Wood, Wood, minPriceBelief, 0.9855,$
1, 29, Wood, Wood, maxPriceBelief, 1.971,$
1, 29, Wood, cash, stock, 4.849956,$
1, 30, Wood, Food, stock, 11.76895,$
1, 30, Wood, Food, minPriceBelief, 1.039574,$
1, 30, Wood, Food, maxPriceBelief, 2.079149,$
1, 30, Wood, Tool, stock, 12.66895,$
1, 30, Wood, Tool, minPriceBelief, 1.038769,$
1, 30, Wood, Tool, maxPriceBelief, 2.077538,$
1, 30, Wood, Wood, stock, 0,$
1, 30, Wood, Wood, minPriceBelief, 0.9855,$
1, 30, Wood, Wood, maxPriceBelief, 1.971,$
1, 30, Wood, cash, stock, 4.987431,$
1, 31, Wood, Food, stock, 17.14272,$
1, 31, Wood, Food, minPriceBelief, 1.039574,$
1, 31, Wood, Food, maxPriceBelief, 2.079149,$
1, 31, Wood, Tool, stock, 18.04272,$
1, 31, Wood, Tool, minPriceBelief, 1.038769,$
1, 31, Wood, Tool, maxPriceBelief, 2.077538,$
1, 31, Wood, Wood, stock, 0,$
1, 31, Wood, Wood, minPriceBelief, 0.9855,$
1, 31, Wood, Wood, maxPriceBelief, 1.971,$
1, 31, Wood, cash, stock, 5.15006,$
1, 32, Wood, Food, stock, 6.510795,$
1, 32, Wood, Food, minPriceBelief, 1.039574,$
1, 32, Wood, Food, maxPriceBelief, 2.079149,$
1, 32, Wood, Tool, stock, 7.410795,$
1, 32, Wood, Tool, minPriceBelief, 1.038769,$
1, 32, Wood, Tool, maxPriceBelief, 2.077538,$
1, 32, Wood, Wood, stock, 0,$
1, 32, Wood, Wood, minPriceBelief, 0.9781087,$
1, 32, Wood, Wood, maxPriceBelief, 1.956217,$
1, 32, Wood, cash, stock, 5.15459,$
1, 33, Wood, Food, stock, 10.47484,$
1, 33, Wood, Food, minPriceBelief, 1.039574,$
1, 33, Wood, Food, maxPriceBelief, 2.079149,$
1, 33, Wood, Tool, stock, 11.37484,$
1, 33, Wood, Tool, minPriceBelief, 1.038769,$
1, 33, Wood, Tool, maxPriceBelief, 2.077538,$
1, 33, Wood, Wood, stock, 0,$
1, 33, Wood, Wood, minPriceBelief, 0.9855,$
1, 33, Wood, Wood, maxPriceBelief, 1.971,$
1, 33, Wood, cash, stock, 4.78234,$
1, 34, Wood, Food, stock, 14.51735,$
1, 34, Wood, Food, minPriceBelief, 1.039574,$
1, 34, Wood, Food, maxPriceBelief, 2.079149,$
1, 34, Wood, Tool, stock, 20,$
1, 34, Wood, Tool, minPriceBelief, 0.9717019,$
1, 34, Wood, Tool, maxPriceBelief, 1.943404,$
1, 34, Wood, Wood, stock, 0,$
1, 34, Wood, Wood, minPriceBelief, 0.9855,$
1, 34, Wood, Wood, maxPriceBelief, 1.971,$
1, 34, Wood, cash, stock, -2.163427,$
1, 35, Wood, Food, stock, 8.801147,$
1, 35, Wood, Food, minPriceBelief, 1.039574,$
1, 35, Wood, Food, maxPriceBelief, 2.079149,$
1, 35, Wood, Tool, stock, 9.701146,$
1, 35, Wood, Tool, minPriceBelief, 1.038769,$
1, 35, Wood, Tool, maxPriceBelief, 2.077538,$
1, 35, Wood, Wood, stock, 0,$
1, 35, Wood, Wood, minPriceBelief, 0.9855,$
1, 35, Wood, Wood, maxPriceBelief, 1.971,$
1, 35, Wood, cash, stock, 4.56864,$
1, 36, Wood, Food, stock, 9.238661,$
1, 36, Wood, Food, minPriceBelief, 1.039574,$
1, 36, Wood, Food, maxPriceBelief, 2.079149,$
1, 36, Wood, Tool, stock, 10.13866,$
1, 36, Wood, Tool, minPriceBelief, 1.038769,$
1, 36, Wood, Tool, maxPriceBelief, 2.077538,$
1, 36, Wood, Wood, stock, 0,$
1, 36, Wood, Wood, minPriceBelief, 0.9855,$
1, 36, Wood, Wood, maxPriceBelief, 1.971,$
1, 36, Wood, cash, stock, 4.424911,$
1, 37, Wood, Food, stock, 10.30778,$
1, 37, Wood, Food, minPriceBelief, 1.039574,$
1, 37, Wood, Food, maxPriceBelief, 2.079149,$
1, 37, Wood, Tool, stock, 11.20778,$
1, 37, Wood, Tool, minPriceBelief, 1.038769,$
1, 37, Wood, Tool, maxPriceBelief, 2.077538,$
1, 37, Wood, Wood, stock, 0,$
1, 37, Wood, Wood, minPriceBelief, 0.9855,$
1, 37, Wood, Wood, maxPriceBelief, 1.971,$
1, 37, Wood, cash, stock, 4.888116,$
1, 38, Wood, Food, stock, 10.87731,$
1, 38, Wood, Food, minPriceBelief, 1.039574,$
1, 38, Wood, Food, maxPriceBelief, 2.079149,$
1, 38, Wood, Tool, stock, 11.77731,$
1, 38, Wood, Tool, minPriceBelief, 1.038769,$
1, 38, Wood, Tool, maxPriceBelief, 2.077538,$
1, 38, Wood, Wood, stock, 0,$
1, 38, Wood, Wood, minPriceBelief, 0.9855,$
1, 38, Wood, Wood, maxPriceBelief, 1.971,$
1, 38, Wood, cash, stock, 5.270529,$
1, 39, Wood, Food, stock, 11.87062,$
1, 39, Wood, Food, minPriceBelief, 1.039574,$
1, 39, Wood, Food, maxPriceBelief, 2.079149,$
1, 39, Wood, Tool, stock, 12.77062,$
1, 39, Wood, Tool, minPriceBelief, 1.038769,$
1, 39, Wood, Tool, maxPriceBelief, 2.077538,$
1, 39, Wood, Wood, stock, 0,$
1, 39, Wood, Wood, minPriceBelief, 0.9855,$
1, 39, Wood, Wood, maxPriceBelief, 1.971,$
1, 39, Wood, cash, stock, 4.662427,$
1, 40, Ore, Food, stock, 4.021671,$
1, 40, Ore, Food, minPriceBelief, 1.039574,$
1, 40, Ore, Food, maxPriceBelief, 2.079149,$
1, 40, Ore, Ore, stock, 0,$
1, 40, Ore, Ore, minPriceBelief, 1.033154,$
1, 40, Ore, Ore, maxPriceBelief, 2.066308,$
1, 40, Ore, cash, stock, 3.66246,$
1, 41, Ore, Food, stock, 3.906363,$
1, 41, Ore, Food, minPriceBelief, 1.039574,$
1, 41, Ore, Food, maxPriceBelief, 2.079149,$
1, 41, Ore, Ore, stock, 0,$
1, 41, Ore, Ore, minPriceBelief, 0.9781087,$
1, 41, Ore, Ore, maxPriceBelief, 1.956217,$
1, 41, Ore, cash, stock, 3.271394,$
1, 42, Ore, Food, stock, 8.680697,$
1, 42, Ore, Food, minPriceBelief, 1.039574,$
1, 42, Ore, Food, maxPriceBelief, 2.079149,$
1, 42, Ore, Ore, stock, 0,$
1, 42, Ore, Ore, minPriceBelief, 0.9781087,$
1, 42, Ore, Ore, maxPriceBelief, 1.956217,$
1, 42, Ore, cash, stock, 3.09734,$
1, 43, Ore, Food, stock, 5.037449,$
1, 43, Ore, Food, minPriceBelief, 1.039574,$
1, 43, Ore, Food, maxPriceBelief, 2.079149,$
1, 43, Ore, Ore, stock, 0,$
1, 43, Ore, Ore, minPriceBelief, 0.9855,$
1, 43, Ore, Ore, maxPriceBelief, 1.971,$
1, 43, Ore, cash, stock, 3.371045,$
1, 44, Ore, Food, stock, 20,$
1, 44, Ore, Food, minPriceBelief, 0.9726138,$
1, 44, Ore, Food, maxPriceBelief, 1.945228,$
1, 44, Ore, Ore, stock, 0,$
1, 44, Ore, Ore, minPriceBelief, 0.9781087,$
1, 44, Ore, Ore, maxPriceBelief, 1.956217,$
1, 44, Ore, cash, stock, -19.72214,$
1, 45, Ore, Food, stock, 6.845099,$
1, 45, Ore, Food, minPriceBelief, 1.039574,$
1, 45, Ore, Food, maxPriceBelief, 2.079149,$
1, 45, Ore, Ore, stock, 0,$
1, 45, Ore, Ore, minPriceBelief, 0.9855,$
1, 45, Ore, Ore, maxPriceBelief, 1.971,$
1, 45, Ore, cash, stock, 3.512025,$
1, 46, Ore, Food, stock, 17.19884,$
1, 46, Ore, Food, minPriceBelief, 1.039574,$
1, 46, Ore, Food, maxPriceBelief, 2.079149,$
1, 46, Ore, Ore, stock, 0,$
1, 46, Ore, Ore, minPriceBelief, 0.9781087,$
1, 46, Ore, Ore, maxPriceBelief, 1.956217,$
1, 46, Ore, cash, stock, 3.080191,$
1, 47, Ore, Food, stock, 17.57291,$
1, 47, Ore, Food, minPriceBelief, 1.039574,$
1, 47, Ore, Food, maxPriceBelief, 2.079149,$
1, 47, Ore, Ore, stock, 0,$
1, 47, Ore, Ore, minPriceBelief, 0.9855,$
1, 47, Ore, Ore, maxPriceBelief, 1.971,$
1, 47, Ore, cash, stock, 3.115616,$
1, 48, Ore, Food, stock, 5.868322,$
1, 48, Ore, Food, minPriceBelief, 1.039574,$
1, 48, Ore, Food, maxPriceBelief, 2.079149,$
1, 48, Ore, Ore, stock, 0,$
1, 48, Ore, Ore, minPriceBelief, 0.9855,$
1, 48, Ore, Ore, maxPriceBelief, 1.971,$
1, 48, Ore, cash, stock, 3.53733,$
1, 49, Ore, Food, stock, 5.526966,$
1, 49, Ore, Food, minPriceBelief, 1.039574,$
1, 49, Ore, Food, maxPriceBelief, 2.079149,$
1, 49, Ore, Ore, stock, 0,$
1, 49, Ore, Ore, minPriceBelief, 0.9855,$
1, 49, Ore, Ore, maxPriceBelief, 1.971,$
1, 49, Ore, cash, stock, 3.538195,$
1, 50, Ore, Food, stock, 6.031889,$
1, 50, Ore, Food, minPriceBelief, 1.039574,$
1, 50, Ore, Food, maxPriceBelief, 2.079149,$
1, 50, Ore, Ore, stock, 0,$
1, 50, Ore, Ore, minPriceBelief, 0.9855,$
1, 50, Ore, Ore, maxPriceBelief, 1.971,$
1, 50, Ore, cash, stock, 3.202981,$
1, 51, Ore, Food, stock, 20,$
1, 51, Ore, Food, minPriceBelief, 0.9744408,$
1, 51, Ore, Food, maxPriceBelief, 1.948882,$
1, 51, Ore, Ore, stock, 0,$
1, 51, Ore, Ore, minPriceBelief, 0.9855,$
1, 51, Ore, Ore, maxPriceBelief, 1.971,$
1, 51, Ore, cash, stock, -13.77478,$
1, 52, Ore, Food, stock, 14.25203,$
1, 52, Ore, Food, minPriceBelief, 1.039574,$
1, 52, Ore, Food, maxPriceBelief, 2.079149,$
1, 52, Ore, Ore, stock, 0,$
1, 52, Ore, Ore, minPriceBelief, 1.032328,$
1, 52, Ore, Ore, maxPriceBelief, 2.064656,$
1, 52, Ore, cash, stock, 3.649248,$
1, 53, Ore, Food, stock, 12.72627,$
1, 53, Ore, Food, minPriceBelief, 1.039574,$
1, 53, Ore, Food, maxPriceBelief, 2.079149,$
1, 53, Ore, Ore, stock, 0,$
1, 53, Ore, Ore, minPriceBelief, 0.9855,$
1, 53, Ore, Ore, maxPriceBelief, 1.971,$
1, 53, Ore, cash, stock, 3.209573,$
1, 54, Ore, Food, stock, 12.22872,$
1, 54, Ore, Food, minPriceBelief, 1.039574,$
1, 54, Ore, Food, maxPriceBelief, 2.079149,$
1, 54, Ore, Ore, stock, 0,$
1, 54, Ore, Ore, minPriceBelief, 0.9855,$
1, 54, Ore, Ore, maxPriceBelief, 1.971,$
1, 54, Ore, cash, stock, 2.880302,$
1, 55, Ore, Food, stock, 11.53204,$
1, 55, Ore, Food, minPriceBelief, 1.004706,$
1, 55, Ore, Food, maxPriceBelief, 2.009411,$
1, 55, Ore, Ore, stock, 0,$
1, 55, Ore, Ore, minPriceBelief, 0.9855,$
1, 55, Ore, Ore, maxPriceBelief, 1.971,$
1, 55, Ore, cash, stock, -11.69813,$
1, 56, Ore, Food, stock, 20,$
1, 56, Ore, Food, minPriceBelief, 0.9855,$
1, 56, Ore, Food, maxPriceBelief, 1.971,$
1, 56, Ore, Ore, stock, 0,$
1, 56, Ore, Ore, minPriceBelief, 0.9855,$
1, 56, Ore, Ore, maxPriceBelief, 1.971,$
1, 56, Ore, cash, stock, -1.284523,$
1, 57, Ore, Food, stock, 20,$
1, 57, Ore, Food, minPriceBelief, 0.9744408,$
1, 57, Ore, Food, maxPriceBelief, 1.948882,$
1, 57, Ore, Ore, stock, 0,$
1, 57, Ore, Ore, minPriceBelief, 0.9855,$
1, 57, Ore, Ore, maxPriceBelief, 1.971,$
1, 57, Ore, cash, stock, -7.952177,$
1, 58, Ore, Food, stock, 3.233978,$
1, 58, Ore, Food, minPriceBelief, 1.039574,$
1, 58, Ore, Food, maxPriceBelief, 2.079149,$
1, 58, Ore, Ore, stock, 0,$
1, 58, Ore, Ore, minPriceBelief, 0.9855,$
1, 58, Ore, Ore, maxPriceBelief, 1.971,$
1, 58, Ore, cash, stock, 3.128247,$
1, 59, Ore, Food, stock, 4.429276,$
1, 59, Ore, Food, minPriceBelief, 1.039574,$
1, 59, Ore, Food, maxPriceBelief, 2.079149,$
1, 59, Ore, Ore, stock, 0,$
1, 59, Ore, Ore, minPriceBelief, 0.9855,$
1, 59, Ore, Ore, maxPriceBelief, 1.971,$
1, 59, Ore, cash, stock, 3.535588,$
1, 60, Metal, Food, stock, 11.67702,$
1, 60, Metal, Food, minPriceBelief, 1.039574,$
1, 60, Metal, Food, maxPriceBelief, 2.079149,$
1, 60, Metal, Ore, stock, 11.67702,$
1, 60, Metal, Ore, minPriceBelief, 1.040252,$
1, 60, Metal, Ore, maxPriceBelief, 2.080505,$
1, 60, Metal, Metal, stock, 0,$
1, 60, Metal, Metal, minPriceBelief, 0.9855,$
1, 60, Metal, Metal, maxPriceBelief, 1.971,$
1, 60, Metal, cash, stock, 1.640068,$
1, 61, Metal, Food, stock, 3.122865,$
1, 61, Metal, Food, minPriceBelief, 1.039574,$
1, 61, Metal, Food, maxPriceBelief, 2.079149,$
1, 61, Metal, Ore, stock, 3.122865,$
1, 61, Metal, Ore, minPriceBelief, 1.040252,$
1, 61, Metal, Ore, maxPriceBelief, 2.080505,$
1, 61, Metal, Metal, stock, 0,$
1, 61, Metal, Metal, minPriceBelief, 0.9855,$
1, 61, Metal, Metal, maxPriceBelief, 1.971,$
1, 61, Metal, cash, stock, 1.542142,$
1, 62, Metal, Food, stock, 20,$
1, 62, Metal, Food, minPriceBelief, 0.9781087,$
1, 62, Metal, Food, maxPriceBelief, 1.956217,$
1, 62, Metal, Ore, stock, 14.4945,$
1, 62, Metal, Ore, minPriceBelief, 1.040252,$
1, 62, Metal, Ore, maxPriceBelief, 2.080505,$
1, 62, Metal, Metal, stock, 0,$
1, 62, Metal, Metal, minPriceBelief, 0.9855,$
1, 62, Metal, Metal, maxPriceBelief, 1.971,$
1, 62, Metal, cash, stock, -8.317942,$
1, 63, Metal, Food, stock, 8.42579,$
1, 63, Metal, Food, minPriceBelief, 1.039574,$
1, 63, Metal, Food, maxPriceBelief, 2.079149,$
1, 63, Metal, Ore, stock, 20,$
1, 63, Metal, Ore, minPriceBelief, 0.9712464,$
1, 63, Metal, Ore, maxPriceBelief, 1.942493,$
1, 63, Metal, Metal, stock, 0,$
1, 63, Metal, Metal, minPriceBelief, 0.9855,$
1, 63, Metal, Metal, maxPriceBelief, 1.971,$
1, 63, Metal, cash, stock, -18.16052,$
1, 64, Metal, Food, stock, 3.436047,$
1, 64, Metal, Food, minPriceBelief, 1.039574,$
1, 64, Metal, Food, maxPriceBelief, 2.079149,$
1, 64, Metal, Ore, stock, 3.436047,$
1, 64, Metal, Ore, minPriceBelief, 1.040252,$
1, 64, Metal, Ore, maxPriceBelief, 2.080505,$
1, 64, Metal, Metal, stock, 0,$
1, 64, Metal, Metal, minPriceBelief, 0.9855,$
1, 64, Metal, Metal, maxPriceBelief, 1.971,$
1, 64, Metal, cash, stock, 1.555692,$
1, 65, Metal, Food, stock, 11.01892,$
1, 65, Metal, Food, minPriceBelief, 1.039574,$
1, 65, Metal, Food, maxPriceBelief, 2.079149,$
1, 65, Metal, Ore, stock, 11.01892,$
1, 65, Metal, Ore, minPriceBelief, 1.040252,$
