round, agent, produces, commodity_stock, type, cs_amount
1, 15, Food, Wood, maxPriceBelief, 2.066393
1, 15, Food, Food, stock, 0
1, 15, Food, Food, minPriceBelief, 1
1, 15, Food, Food, maxPriceBelief, 1.97
1, 15, Food, cash, stock, 101.5845
1, 15, Food, profit, stock, 1.584457
1, 16, Food, Wood, stock, 15.67785
1, 16, Food, Wood, minPriceBelief, 1.033197
1, 16, Food, Wood, maxPriceBelief, 2.066393
1, 16, Food, Food, stock, 0
1, 16, Food, Food, minPriceBelief, 1.036775
1, 16, Food, Food, maxPriceBelief, 2.073551
1, 16, Food, cash, stock, 101.9142
1, 16, Food, profit, stock, 1.914207
1, 17, Food, Wood, stock, 3.236272
1, 17, Food, Wood, minPriceBelief, 1.033197
1, 17, Food, Wood, maxPriceBelief, 2.066393
1, 17, Food, Food, stock, 0
1, 17, Food, Food, minPriceBelief, 1.045027
1, 17, Food, Food, maxPriceBelief, 2.090054
1, 17, Food, cash, stock, 101.9802
1, 17, Food, profit, stock, 1.980217
1, 18, Food, Wood, stock, 11.53311
1, 18, Food, Wood, minPriceBelief, 1.033197
1, 18, Food, Wood, maxPriceBelief, 2.066393
1, 18, Food, Food, stock, 0
1, 18, Food, Food, minPriceBelief, 1.042311
1, 18, Food, Food, maxPriceBelief, 2.084622
1, 18, Food, cash, stock, 101.9585
1, 18, Food, profit, stock, 1.958488
1, 19, Food, Wood, stock, 5.975946
1, 19, Food, Wood, minPriceBelief, 1.033197
1, 19, Food, Wood, maxPriceBelief, 2.066393
1, 19, Food, Food, stock, 0
1, 19, Food, Food, minPriceBelief, 1
1, 19, Food, Food, maxPriceBelief, 1.97
1, 19, Food, cash, stock, 101.588
1, 19, Food, profit, stock, 1.587967
1, 20, Wood, Food, stock, 10.76249
1, 20, Wood, Food, minPriceBelief, 1.042447
1, 20, Wood, Food, maxPriceBelief, 2.084895
1, 20, Wood, Tool, stock, 19.66249
1, 20, Wood, Tool, minPriceBelief, 1
1, 20, Wood, Tool, maxPriceBelief, 1.940629
1, 20, Wood, Wood, stock, 0
1, 20, Wood, Wood, minPriceBelief, 1
1, 20, Wood, Wood, maxPriceBelief, 1.97
1, 20, Wood, cash, stock, -11.15304
1, 20, Wood, profit, stock, -111.153
1, 21, Wood, Food, stock, 15.97455
1, 21, Wood, Food, minPriceBelief, 1.042447
1, 21, Wood, Food, maxPriceBelief, 2.084895
1, 21, Wood, Tool, stock, 16.87455
1, 21, Wood, Tool, minPriceBelief, 1.046338
1, 21, Wood, Tool, maxPriceBelief, 2.092675
1, 21, Wood, Wood, stock, 0
1, 21, Wood, Wood, minPriceBelief, 1
1, 21, Wood, Wood, maxPriceBelief, 1.97
1, 21, Wood, cash, stock, 1.510926
1, 21, Wood, profit, stock, -98.48907
1, 22, Wood, Food, stock, 16.06173
1, 22, Wood, Food, minPriceBelief, 1.002636
1, 22, Wood, Food, maxPriceBelief, 2.005272
1, 22, Wood, Tool, stock, 11.96173
1, 22, Wood, Tool, minPriceBelief, 1.046338
1, 22, Wood, Tool, maxPriceBelief, 2.092675
1, 22, Wood, Wood, stock, 0
1, 22, Wood, Wood, minPriceBelief, 1
1, 22, Wood, Wood, maxPriceBelief, 1.97
1, 22, Wood, cash, stock, -7.988882
1, 22, Wood, profit, stock, -107.9889
1, 23, Wood, Food, stock, 7.163483
1, 23, Wood, Food, minPriceBelief, 1.042447
1, 23, Wood, Food, maxPriceBelief, 2.084895
1, 23, Wood, Tool, stock, 19.06348
1, 23, Wood, Tool, minPriceBelief, 1
1, 23, Wood, Tool, maxPriceBelief, 1.940428
1, 23, Wood, Wood, stock, 0
1, 23, Wood, Wood, minPriceBelief, 1
1, 23, Wood, Wood, maxPriceBelief, 1.97
1, 23, Wood, cash, stock, -18.45558
1, 23, Wood, profit, stock, -118.4556
1, 24, Wood, Food, stock, 7.844382
1, 24, Wood, Food, minPriceBelief, 1.042447
1, 24, Wood, Food, maxPriceBelief, 2.084895
1, 24, Wood, Tool, stock, 8.744382
1, 24, Wood, Tool, minPriceBelief, 1.046338
1, 24, Wood, Tool, maxPriceBelief, 2.092675
1, 24, Wood, Wood, stock, 0
1, 24, Wood, Wood, minPriceBelief, 1
1, 24, Wood, Wood, maxPriceBelief, 1.97
1, 24, Wood, cash, stock, 1.753043
1, 24, Wood, profit, stock, -98.24696
1, 25, Wood, Food, stock, 6.427406
1, 25, Wood, Food, minPriceBelief, 1.042447
1, 25, Wood, Food, maxPriceBelief, 2.084895
1, 25, Wood, Tool, stock, 7.327406
1, 25, Wood, Tool, minPriceBelief, 1.046338
1, 25, Wood, Tool, maxPriceBelief, 2.092675
1, 25, Wood, Wood, stock, 0
1, 25, Wood, Wood, minPriceBelief, 1
1, 25, Wood, Wood, maxPriceBelief, 1.97
1, 25, Wood, cash, stock, 1.738836
1, 25, Wood, profit, stock, -98.26116
1, 26, Wood, Food, stock, 15.24195
1, 26, Wood, Food, minPriceBelief, 1.042447
1, 26, Wood, Food, maxPriceBelief, 2.084895
1, 26, Wood, Tool, stock, 17.14195
1, 26, Wood, Tool, minPriceBelief, 1.025638
1, 26, Wood, Tool, maxPriceBelief, 2.051275
1, 26, Wood, Wood, stock, 0
1, 26, Wood, Wood, minPriceBelief, 1
1, 26, Wood, Wood, maxPriceBelief, 1.97
1, 26, Wood, cash, stock, -0.1144896
1, 26, Wood, profit, stock, -100.1145
1, 27, Wood, Food, stock, 17.30509
1, 27, Wood, Food, minPriceBelief, 1.042447
1, 27, Wood, Food, maxPriceBelief, 2.084895
1, 27, Wood, Tool, stock, 18.20509
1, 27, Wood, Tool, minPriceBelief, 1.046338
1, 27, Wood, Tool, maxPriceBelief, 2.092675
1, 27, Wood, Wood, stock, 0
1, 27, Wood, Wood, minPriceBelief, 1
1, 27, Wood, Wood, maxPriceBelief, 1.97
1, 27, Wood, cash, stock, 1.516949
1, 27, Wood, profit, stock, -98.48305
1, 28, Wood, Food, stock, 6.457502
1, 28, Wood, Food, minPriceBelief, 1.042447
1, 28, Wood, Food, maxPriceBelief, 2.084895
1, 28, Wood, Tool, stock, 7.357502
1, 28, Wood, Tool, minPriceBelief, 1.046338
1, 28, Wood, Tool, maxPriceBelief, 2.092675
1, 28, Wood, Wood, stock, 0
1, 28, Wood, Wood, minPriceBelief, 1
1, 28, Wood, Wood, maxPriceBelief, 1.97
1, 28, Wood, cash, stock, 1.497253
1, 28, Wood, profit, stock, -98.50275
1, 29, Wood, Food, stock, 4.697682
1, 29, Wood, Food, minPriceBelief, 1.042447
1, 29, Wood, Food, maxPriceBelief, 2.084895
1, 29, Wood, Tool, stock, 5.597682
1, 29, Wood, Tool, minPriceBelief, 1.046338
1, 29, Wood, Tool, maxPriceBelief, 2.092675
1, 29, Wood, Wood, stock, 0
1, 29, Wood, Wood, minPriceBelief, 1
1, 29, Wood, Wood, maxPriceBelief, 1.97
1, 29, Wood, cash, stock, 1.549488
1, 29, Wood, profit, stock, -98.45052
1, 30, Wood, Food, stock, 8.149509
1, 30, Wood, Food, minPriceBelief, 1.042447
1, 30, Wood, Food, maxPriceBelief, 2.084895
1, 30, Wood, Tool, stock, 9.049509
1, 30, Wood, Tool, minPriceBelief, 1.046338
1, 30, Wood, Tool, maxPriceBelief, 2.092675
1, 30, Wood, Wood, stock, 0
1, 30, Wood, Wood, minPriceBelief, 1
1, 30, Wood, Wood, maxPriceBelief, 1.97
1, 30, Wood, cash, stock, 1.686301
1, 30, Wood, profit, stock, -98.3137
1, 31, Wood, Food, stock, 7.971704
1, 31, Wood, Food, minPriceBelief, 1.042447
1, 31, Wood, Food, maxPriceBelief, 2.084895
1, 31, Wood, Tool, stock, 8.871703
1, 31, Wood, Tool, minPriceBelief, 1.046338
1, 31, Wood, Tool, maxPriceBelief, 2.092675
1, 31, Wood, Wood, stock, 0
1, 31, Wood, Wood, minPriceBelief, 1
1, 31, Wood, Wood, maxPriceBelief, 1.97
1, 31, Wood, cash, stock, 1.602427
1, 31, Wood, profit, stock, -98.39758
1, 32, Wood, Food, stock, 13.57049
1, 32, Wood, Food, minPriceBelief, 1.042447
1, 32, Wood, Food, maxPriceBelief, 2.084895
1, 32, Wood, Tool, stock, 14.47049
1, 32, Wood, Tool, minPriceBelief, 1.046338
1, 32, Wood, Tool, maxPriceBelief, 2.092675
1, 32, Wood, Wood, stock, 0
1, 32, Wood, Wood, minPriceBelief, 1
1, 32, Wood, Wood, maxPriceBelief, 1.97
1, 32, Wood, cash, stock, 1.498245
1, 32, Wood, profit, stock, -98.50175
1, 33, Wood, Food, stock, 16.19796
1, 33, Wood, Food, minPriceBelief, 1.042447
1, 33, Wood, Food, maxPriceBelief, 2.084895
1, 33, Wood, Tool, stock, 17.09796
1, 33, Wood, Tool, minPriceBelief, 1.046338
1, 33, Wood, Tool, maxPriceBelief, 2.092675
1, 33, Wood, Wood, stock, 0
1, 33, Wood, Wood, minPriceBelief, 1
1, 33, Wood, Wood, maxPriceBelief, 1.97
1, 33, Wood, cash, stock, 1.538622
1, 33, Wood, profit, stock, -98.46138
1, 34, Wood, Food, stock, 9.2147
1, 34, Wood, Food, minPriceBelief, 1.042447
1, 34, Wood, Food, maxPriceBelief, 2.084895
1, 34, Wood, Tool, stock, 10.1147
1, 34, Wood, Tool, minPriceBelief, 1.046338
1, 34, Wood, Tool, maxPriceBelief, 2.092675
1, 34, Wood, Wood, stock, 0
1, 34, Wood, Wood, minPriceBelief, 1
1, 34, Wood, Wood, maxPriceBelief, 1.97
1, 34, Wood, cash, stock, 1.589538
1, 34, Wood, profit, stock, -98.41046
1, 35, Wood, Food, stock, 19.87248
1, 35, Wood, Food, minPriceBelief, 1
1, 35, Wood, Food, maxPriceBelief, 1.940413
1, 35, Wood, Tool, stock, 8.772481
1, 35, Wood, Tool, minPriceBelief, 1.046338
1, 35, Wood, Tool, maxPriceBelief, 2.092675
1, 35, Wood, Wood, stock, 0
1, 35, Wood, Wood, minPriceBelief, 1
1, 35, Wood, Wood, maxPriceBelief, 1.97
1, 35, Wood, cash, stock, -17.65011
1, 35, Wood, profit, stock, -117.6501
1, 36, Wood, Food, stock, 4.3935
1, 36, Wood, Food, minPriceBelief, 1.042447
1, 36, Wood, Food, maxPriceBelief, 2.084895
1, 36, Wood, Tool, stock, 5.2935
1, 36, Wood, Tool, minPriceBelief, 1.046338
1, 36, Wood, Tool, maxPriceBelief, 2.092675
1, 36, Wood, Wood, stock, 0
1, 36, Wood, Wood, minPriceBelief, 1
1, 36, Wood, Wood, maxPriceBelief, 1.97
1, 36, Wood, cash, stock, 1.677352
1, 36, Wood, profit, stock, -98.32265
1, 37, Wood, Food, stock, 8.605167
1, 37, Wood, Food, minPriceBelief, 1.042447
1, 37, Wood, Food, maxPriceBelief, 2.084895
1, 37, Wood, Tool, stock, 9.505167
1, 37, Wood, Tool, minPriceBelief, 1.046338
1, 37, Wood, Tool, maxPriceBelief, 2.092675
1, 37, Wood, Wood, stock, 0
1, 37, Wood, Wood, minPriceBelief, 1
1, 37, Wood, Wood, maxPriceBelief, 1.97
1, 37, Wood, cash, stock, 1.59166
1, 37, Wood, profit, stock, -98.40834
1, 38, Wood, Food, stock, 5.59416
1, 38, Wood, Food, minPriceBelief, 1.042447
1, 38, Wood, Food, maxPriceBelief, 2.084895
1, 38, Wood, Tool, stock, 6.49416
1, 38, Wood, Tool, minPriceBelief, 1.046338
1, 38, Wood, Tool, maxPriceBelief, 2.092675
1, 38, Wood, Wood, stock, 0
1, 38, Wood, Wood, minPriceBelief, 1
1, 38, Wood, Wood, maxPriceBelief, 1.97
1, 38, Wood, cash, stock, 1.695815
1, 38, Wood, profit, stock, -98.30418
1, 39, Wood, Food, stock, 16.93635
1, 39, Wood, Food, minPriceBelief, 1.042447
1, 39, Wood, Food, maxPriceBelief, 2.084895
1, 39, Wood, Tool, stock, 17.83635
1, 39, Wood, Tool, minPriceBelief, 1.046338
1, 39, Wood, Tool, maxPriceBelief, 2.092675
1, 39, Wood, Wood, stock, 0
1, 39, Wood, Wood, minPriceBelief, 1
1, 39, Wood, Wood, maxPriceBelief, 1.97
1, 39, Wood, cash, stock, 1.79316
1, 39, Wood, profit, stock, -98.20684
1, 40, Ore, Food, stock, 5.638331
1, 40, Ore, Food, minPriceBelief, 1.042447
1, 40, Ore, Food, maxPriceBelief, 2.084895
1, 40, Ore, Ore, stock, 0
1, 40, Ore, Ore, minPriceBelief, 1
1, 40, Ore, Ore, maxPriceBelief, 1.97
1, 40, Ore, cash, stock, 1.737032
1, 40, Ore, profit, stock, -98.26297
1, 41, Ore, Food, stock, 8.288736
1, 41, Ore, Food, minPriceBelief, 1.042447
1, 41, Ore, Food, maxPriceBelief, 2.084895
1, 41, Ore, Ore, stock, 0
1, 41, Ore, Ore, minPriceBelief, 1
1, 41, Ore, Ore, maxPriceBelief, 1.97
1, 41, Ore, cash, stock, 1.623075
1, 41, Ore, profit, stock, -98.37692
1, 42, Ore, Food, stock, 7.164942
1, 42, Ore, Food, minPriceBelief, 1.042447
1, 42, Ore, Food, maxPriceBelief, 2.084895
1, 42, Ore, Ore, stock, 0
1, 42, Ore, Ore, minPriceBelief, 1
1, 42, Ore, Ore, maxPriceBelief, 1.97
1, 42, Ore, cash, stock, 1.537398
1, 42, Ore, profit, stock, -98.4626
1, 43, Ore, Food, stock, 3.412856
1, 43, Ore, Food, minPriceBelief, 1.042447
1, 43, Ore, Food, maxPriceBelief, 2.084895
1, 43, Ore, Ore, stock, 0
1, 43, Ore, Ore, minPriceBelief, 1
1, 43, Ore, Ore, maxPriceBelief, 1.97
1, 43, Ore, cash, stock, 1.747455
1, 43, Ore, profit, stock, -98.25255
1, 44, Ore, Food, stock, 9.582592
1, 44, Ore, Food, minPriceBelief, 1.042447
1, 44, Ore, Food, maxPriceBelief, 2.084895
1, 44, Ore, Ore, stock, 0
1, 44, Ore, Ore, minPriceBelief, 1
1, 44, Ore, Ore, maxPriceBelief, 1.97
1, 44, Ore, cash, stock, 1.47531
1, 44, Ore, profit, stock, -98.52469
1, 45, Ore, Food, stock, 4.804458
1, 45, Ore, Food, minPriceBelief, 1.042447
1, 45, Ore, Food, maxPriceBelief, 2.084895
1, 45, Ore, Ore, stock, 0
1, 45, Ore, Ore, minPriceBelief, 1
1, 45, Ore, Ore, maxPriceBelief, 1.97
1, 45, Ore, cash, stock, 1.6076
1, 45, Ore, profit, stock, -98.3924
1, 46, Ore, Food, stock, 11.80946
1, 46, Ore, Food, minPriceBelief, 1.042447
1, 46, Ore, Food, maxPriceBelief, 2.084895
1, 46, Ore, Ore, stock, 0
1, 46, Ore, Ore, minPriceBelief, 1
1, 46, Ore, Ore, maxPriceBelief, 1.97
1, 46, Ore, cash, stock, 1.760916
1, 46, Ore, profit, stock, -98.23908
1, 47, Ore, Food, stock, 3.256553
1, 47, Ore, Food, minPriceBelief, 1.042447
1, 47, Ore, Food, maxPriceBelief, 2.084895
1, 47, Ore, Ore, stock, 0
1, 47, Ore, Ore, minPriceBelief, 1
1, 47, Ore, Ore, maxPriceBelief, 1.97
1, 47, Ore, cash, stock, 1.706653
1, 47, Ore, profit, stock, -98.29335
1, 48, Ore, Food, stock, 15.754
1, 48, Ore, Food, minPriceBelief, 1.042447
1, 48, Ore, Food, maxPriceBelief, 2.084895
1, 48, Ore, Ore, stock, 0
1, 48, Ore, Ore, minPriceBelief, 1
1, 48, Ore, Ore, maxPriceBelief, 1.97
1, 48, Ore, cash, stock, 1.667239
1, 48, Ore, profit, stock, -98.33276
1, 49, Ore, Food, stock, 15.91627
1, 49, Ore, Food, minPriceBelief, 1.042447
1, 49, Ore, Food, maxPriceBelief, 2.084895
1, 49, Ore, Ore, stock, 0
1, 49, Ore, Ore, minPriceBelief, 1
1, 49, Ore, Ore, maxPriceBelief, 1.97
1, 49, Ore, cash, stock, 1.634365
1, 49, Ore, profit, stock, -98.36563
1, 50, Ore, Food, stock, 16.7511
1, 50, Ore, Food, minPriceBelief, 1.042447
1, 50, Ore, Food, maxPriceBelief, 2.084895
1, 50, Ore, Ore, stock, 0
1, 50, Ore, Ore, minPriceBelief, 1
1, 50, Ore, Ore, maxPriceBelief, 1.97
1, 50, Ore, cash, stock, 1.513805
1, 50, Ore, profit, stock, -98.4862
1, 51, Ore, Food, stock, 15.8854
1, 51, Ore, Food, minPriceBelief, 1.042447
1, 51, Ore, Food, maxPriceBelief, 2.084895
1, 51, Ore, Ore, stock, 0
1, 51, Ore, Ore, minPriceBelief, 1
1, 51, Ore, Ore, maxPriceBelief, 1.97
1, 51, Ore, cash, stock, 1.762486
1, 51, Ore, profit, stock, -98.23751
1, 52, Ore, Food, stock, 11.68667
1, 52, Ore, Food, minPriceBelief, 1.042447
1, 52, Ore, Food, maxPriceBelief, 2.084895
1, 52, Ore, Ore, stock, 0
1, 52, Ore, Ore, minPriceBelief, 1
1, 52, Ore, Ore, maxPriceBelief, 1.97
1, 52, Ore, cash, stock, 1.859109
1, 52, Ore, profit, stock, -98.14089
1, 53, Ore, Food, stock, 9.410209
1, 53, Ore, Food, minPriceBelief, 1.042447
1, 53, Ore, Food, maxPriceBelief, 2.084895
1, 53, Ore, Ore, stock, 0
1, 53, Ore, Ore, minPriceBelief, 1
1, 53, Ore, Ore, maxPriceBelief, 1.97
1, 53, Ore, cash, stock, 1.597664
1, 53, Ore, profit, stock, -98.40234
1, 54, Ore, Food, stock, 10.89693
1, 54, Ore, Food, minPriceBelief, 1.042447
1, 54, Ore, Food, maxPriceBelief, 2.084895
1, 54, Ore, Ore, stock, 0
1, 54, Ore, Ore, minPriceBelief, 1
1, 54, Ore, Ore, maxPriceBelief, 1.97
1, 54, Ore, cash, stock, 1.543817
1, 54, Ore, profit, stock, -98.45618
1, 55, Ore, Food, stock, 15.6006
1, 55, Ore, Food, minPriceBelief, 1.042447
1, 55, Ore, Food, maxPriceBelief, 2.084895
1, 55, Ore, Ore, stock, 0
1, 55, Ore, Ore, minPriceBelief, 1
1, 55, Ore, Ore, maxPriceBelief, 1.97
1, 55, Ore, cash, stock, 1.5136
1, 55, Ore, profit, stock, -98.4864
1, 56, Ore, Food, stock, 6.205406
1, 56, Ore, Food, minPriceBelief, 1.042447
1, 56, Ore, Food, maxPriceBelief, 2.084895
1, 56, Ore, Ore, stock, 0
1, 56, Ore, Ore, minPriceBelief, 1
1, 56, Ore, Ore, maxPriceBelief, 1.97
1, 56, Ore, cash, stock, 1.481233
1, 56, Ore, profit, stock, -98.51877
1, 57, Ore, Food, stock, 9.719439
1, 57, Ore, Food, minPriceBelief, 1.042447
1, 57, Ore, Food, maxPriceBelief, 2.084895
1, 57, Ore, Ore, stock, 0
1, 57, Ore, Ore, minPriceBelief, 1
1, 57, Ore, Ore, maxPriceBelief, 1.97
1, 57, Ore, cash, stock, 1.659704
1, 57, Ore, profit, stock, -98.34029
1, 58, Ore, Food, stock, 17.88852
1, 58, Ore, Food, minPriceBelief, 1.042447
1, 58, Ore, Food, maxPriceBelief, 2.084895
1, 58, Ore, Ore, stock, 0
1, 58, Ore, Ore, minPriceBelief, 1
1, 58, Ore, Ore, maxPriceBelief, 1.97
1, 58, Ore, cash, stock, 1.828278
1, 58, Ore, profit, stock, -98.17172
1, 59, Ore, Food, stock, 6.359699
1, 59, Ore, Food, minPriceBelief, 1.042447
1, 59, Ore, Food, maxPriceBelief, 2.084895
1, 59, Ore, Ore, stock, 0
1, 59, Ore, Ore, minPriceBelief, 1
1, 59, Ore, Ore, maxPriceBelief, 1.97
1, 59, Ore, cash, stock, 1.581648
1, 59, Ore, profit, stock, -98.41835
1, 60, Metal, Food, stock, 12.45833
1, 60, Metal, Food, minPriceBelief, 1.042447
1, 60, Metal, Food, maxPriceBelief, 2.084895
1, 60, Metal, Ore, stock, 12.45833
1, 60, Metal, Ore, minPriceBelief, 1.03274
1, 60, Metal, Ore, maxPriceBelief, 2.06548
1, 60, Metal, Metal, stock, 0
1, 60, Metal, Metal, minPriceBelief, 1
1, 60, Metal, Metal, maxPriceBelief, 1.97
1, 60, Metal, cash, stock, 1.548762
1, 60, Metal, profit, stock, -98.45124
1, 61, Metal, Food, stock, 11.00239
1, 61, Metal, Food, minPriceBelief, 1.042447
1, 61, Metal, Food, maxPriceBelief, 2.084895
1, 61, Metal, Ore, stock, 11.00239
1, 61, Metal, Ore, minPriceBelief, 1.03274
1, 61, Metal, Ore, maxPriceBelief, 2.06548
1, 61, Metal, Metal, stock, 0
1, 61, Metal, Metal, minPriceBelief, 1.03284
1, 61, Metal, Metal, maxPriceBelief, 2.06568
1, 61, Metal, cash, stock, 1.882719
1, 61, Metal, profit, stock, -98.11728
1, 62, Metal, Food, stock, 15.71709
1, 62, Metal, Food, minPriceBelief, 1.042447
1, 62, Metal, Food, maxPriceBelief, 2.084895
1, 62, Metal, Ore, stock, 19.71709
1, 62, Metal, Ore, minPriceBelief, 1
1, 62, Metal, Ore, maxPriceBelief, 1.944077
1, 62, Metal, Metal, stock, 0
1, 62, Metal, Metal, minPriceBelief, 1
1, 62, Metal, Metal, maxPriceBelief, 1.97
1, 62, Metal, cash, stock, -4.123787
1, 62, Metal, profit, stock, -104.1238
1, 63, Metal, Food, stock, 9.736238
1, 63, Metal, Food, minPriceBelief, 1.042447
1, 63, Metal, Food, maxPriceBelief, 2.084895
1, 63, Metal, Ore, stock, 9.736238
1, 63, Metal, Ore, minPriceBelief, 1.03274
1, 63, Metal, Ore, maxPriceBelief, 2.06548
1, 63, Metal, Metal, stock, 0
1, 63, Metal, Metal, minPriceBelief, 1
1, 63, Metal, Metal, maxPriceBelief, 1.97
1, 63, Metal, cash, stock, 1.607294
1, 63, Metal, profit, stock, -98.39271
1, 64, Metal, Food, stock, 8.392858
1, 64, Metal, Food, minPriceBelief, 1.042447
1, 64, Metal, Food, maxPriceBelief, 2.084895
1, 64, Metal, Ore, stock, 8.392858
1, 64, Metal, Ore, minPriceBelief, 1.03274
1, 64, Metal, Ore, maxPriceBelief, 2.06548
1, 64, Metal, Metal, stock, 0
1, 64, Metal, Metal, minPriceBelief, 1
1, 64, Metal, Metal, maxPriceBelief, 1.97
1, 64, Metal, cash, stock, 1.599939
1, 64, Metal, profit, stock, -98.40006
1, 65, Metal, Food, stock, 15.49375
1, 65, Metal, Food, minPriceBelief, 1.042447
1, 65, Metal, Food, maxPriceBelief, 2.084895
1, 65, Metal, Ore, stock, 15.49375
